"LANGUAGE","NAME","VERSION","LICENSES","COPYRIGHTS","URL"
"nodejs","@angular/animations","14.3.0","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Fanimations"
"nodejs","@angular/cdk","14.2.7","MIT","Copyright (c) 2025 Google LLC.","https://www.npmjs.com/package/%40angular%2Fcdk"
"nodejs","@angular/common","14.3.0","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Fcommon"
"nodejs","@angular/compiler","14.3.0","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Fcompiler"
"nodejs","@angular/core","14.3.0","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Fcore"
"nodejs","@angular/forms","14.3.0","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Fforms"
"nodejs","@angular/material","14.2.7","MIT","Copyright (c) 2025 Google LLC.","https://www.npmjs.com/package/%40angular%2Fmaterial"
"nodejs","@angular/material-moment-adapter","14.2.7","MIT","Copyright (c) 2025 Google LLC.","https://www.npmjs.com/package/%40angular%2Fmaterial-moment-adapter"
"nodejs","@angular/platform-browser","14.3.0","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Fplatform-browser"
"nodejs","@angular/platform-browser-dynamic","14.3.0","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Fplatform-browser-dynamic"
"nodejs","@angular/router","14.3.0","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Frouter"
"nodejs","@auth0/angular-jwt","5.2.0","MIT","Copyright (c) 2017 Auth0 Inc.","https://www.npmjs.com/package/%40auth0%2Fangular-jwt"
"nodejs","@babel/runtime","7.18.9","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors","https://www.npmjs.com/package/%40babel%2Fruntime"
"nodejs","@babel/runtime","7.23.6","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors","https://www.npmjs.com/package/%40babel%2Fruntime"
"nodejs","@mattlewis92/dom-autoscroller","2.4.2","MIT","Copyright (c) 2016 Quentin Engles","https://www.npmjs.com/package/%40mattlewis92%2Fdom-autoscroller"
"nodejs","@scarf/scarf","1.3.0","Apache-2.0","Copyright 2020 Scarf Systems, Inc.","https://www.npmjs.com/package/%40scarf%2Fscarf"
"nodejs","angular-calendar","0.30.1","MIT","Copyright (c) 2018 Matt Lewis","https://www.npmjs.com/package/angular-calendar"
"nodejs","angular-draggable-droppable","7.0.0","MIT","Copyright (c) 2018 Matt Lewis","https://www.npmjs.com/package/angular-draggable-droppable"
"nodejs","angular-resizable-element","6.0.2","MIT","Copyright (c) 2016 Matt Lewis","https://www.npmjs.com/package/angular-resizable-element"
"nodejs","angularx-flatpickr","7.3.0","MIT","Copyright (c) 2017 Matt Lewis","https://www.npmjs.com/package/angularx-flatpickr"
"nodejs","bootstrap","5.3.2","MIT","Copyright (c) 2011-2025 The Bootstrap Authors","https://www.npmjs.com/package/bootstrap"
"nodejs","calendar-utils","0.10.4","MIT","Copyright (c) 2016 Matt Lewis","https://www.npmjs.com/package/calendar-utils"
"nodejs","date-fns","2.30.0","MIT","Copyright (c) 2021 Sasha Koss and Lesha Koss https://kossnocorp.mit-license.org","https://www.npmjs.com/package/date-fns"
"nodejs","file-saver","2.0.5","MIT","Copyright Copyright 2016 [Eli Grey][1].","https://www.npmjs.com/package/file-saver"
"nodejs","flatpickr","4.6.13","MIT","Copyright (c) 2017 Gregory Petrosyan","https://www.npmjs.com/package/flatpickr"
"nodejs","moment","2.29.4","MIT","Copyright (c) JS Foundation and other contributors","https://www.npmjs.com/package/moment"
"nodejs","parse5","6.0.1","MIT","Copyright (c) 2013-2019 Ivan Nikulin (ifaaan@gmail.com, https://github.com/inikulin)","https://www.npmjs.com/package/parse5"
"nodejs","positioning","2.0.1","MIT","Copyright (c) 2017 Matt Lewis","https://www.npmjs.com/package/positioning"
"nodejs","regenerator-runtime","0.14.0","MIT","Copyright (c) 2014-present, Facebook, Inc.","https://www.npmjs.com/package/regenerator-runtime"
"nodejs","rxjs","7.5.7","Apache-2.0","Copyright (c) 2015-2025     Ben Lesh <ben@benlesh.com>    Google, Inc.    Netflix, Inc.    Microsoft Corp.    and contributors","https://www.npmjs.com/package/rxjs"
"nodejs","tslib","1.14.1","0BSD","Copyright (c) Microsoft Corporation.","https://www.npmjs.com/package/tslib"
"nodejs","tslib","2.6.2","0BSD","Copyright (c) Microsoft Corporation.","https://www.npmjs.com/package/tslib"
"nodejs","xlsx","https://cdn.sheetjs.com/xlsx-0.19.3/xlsx-0.19.3.tgz","Apache-2.0","Copyright (C) 2012-present   SheetJS LLC","https://www.npmjs.com/package/xlsx"
"nodejs","zone.js","0.11.8","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/zone.js"
