"LANGUAGE","NAME","VERSION","LICENSES","COPYRIGHTS","URL"
"nodejs","@angular/animations","14.3.0","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Fanimations"
"nodejs","@angular/common","14.3.0","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Fcommon"
"nodejs","@angular/compiler","14.3.0","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Fcompiler"
"nodejs","@angular/core","14.3.0","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Fcore"
"nodejs","@angular/forms","14.3.0","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Fforms"
"nodejs","@angular/material","14.2.7","MIT","Copyright (c) 2025 Google LLC.","https://www.npmjs.com/package/%40angular%2Fmaterial"
"nodejs","@angular/material-moment-adapter","14.2.7","MIT","Copyright (c) 2025 Google LLC.","https://www.npmjs.com/package/%40angular%2Fmaterial-moment-adapter"
"nodejs","@angular/platform-browser","14.3.0","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Fplatform-browser"
"nodejs","@angular/platform-browser-dynamic","14.3.0","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Fplatform-browser-dynamic"
"nodejs","@angular/router","14.3.0","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/%40angular%2Frouter"
"nodejs","bootstrap","5.3.2","MIT","Copyright (c) 2011-2025 The Bootstrap Authors","https://www.npmjs.com/package/bootstrap"
"nodejs","moment","2.29.4","MIT","Copyright (c) JS Foundation and other contributors","https://www.npmjs.com/package/moment"
"nodejs","rxjs","7.5.7","Apache-2.0","Copyright (c) 2015-2025     Ben Lesh <ben@benlesh.com>    Google, Inc.    Netflix, Inc.    Microsoft Corp.    and contributors","https://www.npmjs.com/package/rxjs"
"nodejs","tslib","2.6.2","0BSD","Copyright (c) Microsoft Corporation.","https://www.npmjs.com/package/tslib"
"nodejs","zone.js","0.11.8","MIT","Copyright (c) 2010-2025 Google LLC. https://angular.dev/license","https://www.npmjs.com/package/zone.js"
